Importers,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
World,11493,7994,3298,15,0,31,155,124,102,53
Bhutan,0,0,0,0,0,,1,,,53
United Arab Emirates,0,0,0,0,0,,,2,,1
United States of America,283,270,90,0,0,,,,,
Area Nes,152,0,0,0,0,,,,,
Austria,3,0,0,0,0,,,,,
Belgium,0,3,0,0,0,,,,,
Bulgaria,0,2,0,0,0,,,,,
Canada,0,0,42,0,0,,,,,
China,1008,183,0,0,0,,,,6,
France,5405,3104,1572,0,0,,49,120,,
Germany,315,308,182,0,0,,,,,
"Hong Kong, China",44,124,53,0,0,30,,,,
Japan,23,0,25,0,0,,,,,
Kuwait,0,0,13,0,0,,,,,
Malaysia,0,0,0,0,0,,,,97,
Mexico,0,0,0,15,0,,,,,
Morocco,0,0,0,0,0,,,1,,
Netherlands,0,5,0,0,0,,,,,
Singapore,0,0,0,0,0,,,,,
Spain,0,38,0,0,0,,,,,
Sweden,50,22,0,0,0,,,,,
Switzerland,4209,3937,1322,0,0,,105,,,
